radiocarbon_id,14C age,error
984,2873,43
2397,2874,39
1684,2874,22
1768,2875,24
1255,2875,28
2714,2875,30
888,2875,35
2155,2877,26
2606,2878,22
1208,2878,26
1225,2879,29
1310,2880,40
1223,2880,40
1459,2880,40
2677,2880,30
2702,2880,35
2092,2880,35
1253,2880,22
2800,2880,105
427,2880,110
789,2880,40
2191,2880,70
1911,2880,40
2140,2880,40
2083,2880,40
2573,2880,40
2532,2880,50
1163,2880,
1679,2880,70
1678,2880,60
2434,2880,70
555,2880,40
881,2880,40
884,2880,35
889,2880,35
1000,2881,32
988,2881,45
1824,2882,23
1866,2882,30
2718,2885,30
2721,2885,30
989,2885,30
990,2885,30
999,2885,40
2878,2886,28
932,2887,31
896,2889,27
775,2890,40
2699,2890,30
1427,2890,40
2717,2890,30
2094,2890,35
1490,2890,60
2664,2890,50
2716,2890,30
1646,2890,22
2134,2890,40
1534,2890,40
1806,2890,30
2345,2890,40
2634,2890,33
917,2890,40
2486,2890,40
905,2890,35
1615,2890,125
1589,2890,26
439,2890,90
1259,2891,30
1399,2892,22
1377,2893,33
2160,2893,34
1089,2893,21
1094,2895,40
987,2895,20
2125,2895,35
2584,2895,22
1375,2895,35
2501,2895,50
36,2895,150
911,2895,35
1181,2896,38
1170,2896,23
1801,2896,24
2601,2897,30
986,2899,34
1216,2900,40
946,2900,60
2175,2900,35
2396,2900,23
2719,2900,30
2680,2900,45
907,2900,47
2091,2900,35
2178,2900,35
2180,2900,35
2879,2900,50
985,2900,40
2138,2900,40
1429,2900,50
2508,2900,35
872,2900,60
1512,2902,30
1868,2902,26
2605,2903,26
1209,2903,20
1413,2904,33
1280,2904,19
2710,2905,35
2098,2905,35
2715,2905,30
2720,2905,30
991,2905,30
2192,2905,35
887,2905,40
886,2905,35
1711,2908,22
939,2909,39
1688,2909,22
2697,2910,25
996,2910,40
1238,2910,26
856,2910,30
1252,2910,25
1822,2910,23
1820,2910,22
2707,2910,30
2696,2910,40
2700,2910,35
1132,2910,40
2278,2910,60
927,2910,32
1916,2910,60
1683,2910,60
2017,2910,40
997,2910,50
2723,2911,24
894,2915,16
2260,2915,29
2679,2915,45
2157,2915,35
2708,2915,75
2123,2915,35
1220,2916,34
1349,2917,56
949,2918,32
2542,2920,40
2675,2920,45
2186,2920,35
2139,2920,40
2190,2920,70
898,2920,43
1872,2920,25
1685,2920,22
925,2920,40
919,2921,34
1750,2922,28
892,2923,50
897,2923,16
2158,2925,35
1244,2925,38
1453,2925,20
1449,2925,25
878,2925,40
1776,2927,33
2269,2927,36
1656,2929,25
2395,2929,25
2706,2930,30
1457,2930,40
2108,2930,35
954,2930,40
1331,2930,34
2249,2930,35
993,2930,30
2129,2930,40
2704,2930,45
1274,2930,70
2684,2930,75
885,2930,35
1026,2930,70
2328,2930,70
1586,2931,40
2641,2931,33
2151,2932,28
2628,2932,32
2882,2932,33
1771,2933,22
1655,2933,25
906,2934,31
2239,2935,50
2115,2935,35
2450,2935,40
2174,2935,35
1569,2936,23
1446,2938,35
930,2940,30
2296,2940,40
1452,2940,50
2693,2940,30
2142,2940,40
2126,2940,35
2695,2940,50
2315,2940,40
1009,2940,60
